product_id,product_name,brand,category,gender,size,color,material,fit,season,made_in,price_usd,on_sale,sale_percent,sale_price_usd,currency,in_stock,stock_qty,avg_rating,review_count,review_id,review_title,review_text,review_rating,reviewer_location,verified_purchase,would_recommend,created_at,review_date,tags
CL-RP5GE094,Utility Sandals,Columbia,Jacket,Kids,XL,Beige,Suede,Oversized,Spring,Indonesia,95.36,FALSE,0,,USD,TRUE,98,3,1556,REV-2W5506RR5P,Worth the price,Color matches the photos. Arrived with a small defect.,3,"CA, USA",TRUE,FALSE,12/7/2025,3/26/2026,"giftable, trendy, streetwear"
CL-9BXF445C,Core Polo,Lululemon,Socks,Unisex,S,Red,Linen,Slim,Winter,Bangladesh,83.92,FALSE,0,,USD,TRUE,214,4,1551,REV-OIQ2Q4QERX,Decent but flawed,Fits true to size. Breathable and lightweight.,4,"CA, USA",TRUE,TRUE,7/25/2025,11/17/2025,"trendy, eco, premium"
CL-ZE1HM38K,Core Blazer,Puma,Hat,Unisex,XXL,White,Cotton,Regular,Fall,Vietnam,187.62,TRUE,40,112.57,USD,TRUE,121,4,1677,REV-DVG7OQ2ZDO,Perfect gift,Color matches the photos. Very flattering fit.,4,"Sydney, AU",TRUE,TRUE,11/3/2025,12/20/2025,"outdoor, trendy, budget"
CL-VL5PVYIO,Core T-Shirt,North Face,Polo,Unisex,L,Olive,Polyester,Regular,Fall,Indonesia,155.9,TRUE,40,93.54,USD,TRUE,99,5,2099,REV-KZ4Z7WHWKM,Would buy again,Breathable and lightweight. Excellent value for money.,5,"TX, USA",FALSE,TRUE,11/4/2025,1/20/2026,"budget, trendy, outdoor"
CL-FYH1FKJ4,Premium Polo,Under Armour,Blazer,Women,XL,Black,Denim,Oversized,All-season,Indonesia,194.52,FALSE,0,,USD,TRUE,27,5,919,REV-0UI22KX7N8,Would buy again,Excellent value for money. Breathable and lightweight.,5,"ON, Canada",FALSE,TRUE,1/26/2024,3/15/2024,"workwear, streetwear, minimal"
CL-SNPUEVJL,Everyday Sweater,Reebok,Dress,Men,S,Red,Suede,Slim,Winter,India,105.35,FALSE,0,,USD,TRUE,246,5,2010,REV-2TCZS8S2FT,Would buy again,Very flattering fit. Great stitching and material.,5,"London, UK",TRUE,TRUE,6/26/2024,9/29/2024,"streetwear, athleisure, outdoor"
CL-W8YL68NT,Vintage Blazer,Levi's,Blazer,Men,XL,Olive,Denim,Athletic,Winter,Portugal,35.86,TRUE,15,30.48,USD,FALSE,0,5,1994,REV-B6GS8G8TAC,Decent but flawed,Feels premium. Excellent value for money.,5,"FL, USA",FALSE,TRUE,9/20/2025,1/16/2026,"premium, streetwear, trendy"
CL-IJNWPAYT,Premium Boots,Reebok,Jeans,Men,XXL,White,Denim,Athletic,All-season,India,30.2,TRUE,40,18.12,USD,TRUE,18,5,1235,REV-VK7N3BFH02,Not as expected,Super comfortable and soft. Excellent value for money.,5,"Paris, FR",TRUE,TRUE,8/11/2025,11/25/2025,"workwear, athleisure, eco"
CL-XSFH4GG2,Essential Scarf,Gap,Hoodie,Kids,XXL,Brown,Organic Cotton,Relaxed,All-season,India,55.69,FALSE,0,,USD,TRUE,54,2,403,REV-HU8MYIKCGR,Great quality,Wouldn't repurchase. Too thin for the season.,2,"ON, Canada",TRUE,FALSE,2/26/2025,6/22/2025,"outdoor, budget, athleisure"
CL-MKTGV44F,Signature Polo,Puma,Scarf,Women,M,Yellow,Rayon,Slim,All-season,USA,186.74,TRUE,35,121.38,USD,TRUE,122,3,2078,REV-W3U1HBJ6TX,Runs small,Great stitching and material. Stitching came loose quickly.,3,"TX, USA",TRUE,FALSE,4/18/2025,6/15/2025,"outdoor, workwear, budget"
CL-8X80RMHR,Core Hat,North Face,Jeans,Unisex,M,Navy,Cotton,Regular,Winter,Turkey,154.31,FALSE,0,,USD,TRUE,40,2,1590,REV-QQB9LZS34J,Runs small,Fabric pills easily. Material felt cheaper than expected.,2,"Paris, FR",TRUE,FALSE,7/2/2024,9/13/2024,"classic, athleisure, premium"
CL-FCXHGNZE,Signature Coat,Gap,Sweater,Kids,M,Yellow,Organic Cotton,Oversized,Fall,Portugal,113.27,FALSE,0,,USD,TRUE,128,5,864,REV-VXOIEVES6F,Comfortable fit,Feels premium. Breathable and lightweight.,5,"TX, USA",TRUE,TRUE,5/22/2024,7/18/2024,"classic, outdoor, eco"
CL-XJ0MQVIN,Premium Blazer,Columbia,Jacket,Men,S,Brown,Leather,Oversized,Spring,Indonesia,184.72,FALSE,0,,USD,TRUE,210,3,395,REV-G6V5T1DX6T,Decent but flawed,Excellent value for money. Fit was awkward in the shoulders.,3,"NY, USA",FALSE,FALSE,7/5/2024,9/23/2024,"giftable, classic, trendy"
CL-PJ16DVTJ,Classic Leggings,Patagonia,T-Shirt,Men,XL,Brown,Organic Cotton,Athletic,All-season,Italy,134.52,FALSE,0,,USD,TRUE,178,4,842,REV-YLNFXJ4PNJ,Runs large,Great stitching and material. Excellent value for money.,4,"London, UK",FALSE,TRUE,8/12/2025,8/25/2025,"trendy, minimal, budget"
CL-DS22WYBO,Core Scarf,Levi's,T-Shirt,Men,S,Beige,Suede,Oversized,All-season,China,189.84,FALSE,0,,USD,TRUE,114,4,1078,REV-HCBN9WSZV8,Stylish and versatile,Very flattering fit. Color matches the photos.,4,"TX, USA",TRUE,TRUE,12/17/2025,1/7/2026,"streetwear, trendy, workwear"
CL-YOHAZ7T0,Utility Hoodie,Zara,Scarf,Unisex,M,Blue,Wool,Athletic,Spring,Portugal,61.77,TRUE,15,52.5,USD,TRUE,70,4,1655,REV-UJODCK8285,Comfortable fit,Very flattering fit. Looks even better in person.,4,"Sydney, AU",TRUE,TRUE,2/13/2025,3/31/2025,"classic, outdoor, minimal"
CL-IL8SA3ID,Everyday Sweater,Puma,Polo,Men,XL,Gray,Fleece,Relaxed,Summer,Bangladesh,65.63,FALSE,0,,USD,TRUE,56,5,1103,REV-G07G0IIJI4,Perfect gift,Excellent value for money. Super comfortable and soft.,5,"Sydney, AU",TRUE,TRUE,11/24/2025,2/22/2026,"premium, giftable, minimal"
CL-O1ESP7BM,Core T-Shirt,Ralph Lauren,Skirt,Kids,XS,Yellow,Leather,Oversized,Summer,USA,192.7,FALSE,0,,USD,FALSE,0,5,49,REV-YNDN5GJJ8M,Perfect gift,Color matches the photos. Very flattering fit.,5,"TX, USA",TRUE,TRUE,6/7/2025,7/13/2025,"athleisure, giftable, classic"
CL-3GR94SZ2,Essential Sandals,H&M,Blazer,Unisex,XL,Pink,Cotton,Oversized,All-season,Vietnam,127.51,FALSE,0,,USD,TRUE,204,4,246,REV-HJ4D0JMU3M,Decent but flawed,Great stitching and material. Fits true to size.,4,"London, UK",TRUE,FALSE,6/2/2024,8/2/2024,"streetwear, outdoor, trendy"
CL-3MWU4CFI,Everyday Blazer,Uniqlo,Polo,Unisex,XXL,Blue,Suede,Oversized,Summer,Portugal,139.64,FALSE,0,,USD,FALSE,0,3,1488,REV-0SQG4EIJ00,Would buy again,Excellent value for money. Fit was awkward in the shoulders.,3,"FL, USA",TRUE,FALSE,6/20/2024,9/10/2024,"premium, minimal, trendy"
